claim_id,text,kind,source_file,source_column_or_cell,value
tl_share_P,TinyLlama partition share 0.508,analysis,analysis/variance_components.csv,share_P model=tl,0.508
tl_share_PM,TinyLlama interaction share 0.469,analysis,analysis/variance_components.csv,share_PM model=tl,0.469
tl_share_E,TinyLlama residual share 0.023,analysis,analysis/variance_components.csv,share_E model=tl,0.023
l3_share_PM,LLaMA interaction share 0.992 at p=10,analysis,analysis/variance_components_l3_p10.csv,share_PM label=I10_l3_p10,0.992
l3_share_P_ci_includes_0,LLaMA partition share CI includes 0 at p=10,analysis,analysis/variance_components_l3_p10.csv,share_P_ci_lo label=I10_l3_p10,0
l3_trunc_P_p10,LLaMA s2_P truncated at p=10,analysis,analysis/variance_components_l3_p10.csv,trunc_P label=I10_l3_p10,true
tl_flip_k3_paired,TinyLlama 3-draw paired flip probability 0.377,analysis,analysis/rank_flip.csv,model=tl k=3 protocol=paired event=best,0.377
l3_flip_k3_paired_p10,LLaMA 3-draw paired flip probability 0.493 at p=10,analysis,analysis/rank_flip_l3_p10.csv,k=3 protocol=paired event=best,0.493
tl_near_tie_n_paired,Near-tie needs 206 paired draws (tl),analysis,analysis/power.csv,model=tl pair=fedit-flora kind=observed_gap,206
l3_near_tie_n_paired,Near-tie needs more than 1000 paired draws (l3 p=10),analysis,analysis/power_l3_p10.csv,pair=fedit-flora kind=observed_gap,more than 1000
separable_n_paired_3,Separable pairs need 3 paired draws,analysis,analysis/power.csv,and power_l3_p10.csv observed_gap,3
base_loss_tl,TinyLlama base loss 2.121 (rounded),analysis,analysis/runs.csv,base_loss model=tl,2.120666
base_loss_l3,LLaMA base loss 2.169 (rounded),analysis,analysis/runs.csv,base_loss model=l3,2.168946
tuned_loss_range,Fine-tuned held-out loss between 1.69 and 1.85,analysis,analysis/runs.csv,heldout_loss min/max,"[1.69,1.85]"
sd_pair_tl,Paired SD 0.00282 (tl),analysis,analysis/power.csv,sd_pair_model model=tl,0.00282
sd_pair_l3,Paired SD 0.00770 (l3 p=10),analysis,analysis/power_l3_p10.csv,sd_pair_model,0.0077
tl_near_tie_unpaired,Near-tie unpaired n 416 (tl),analysis,analysis/power.csv,n_unpaired_per_method model=tl pair=fedit-flora,416
l3_near_tie_unpaired,Near-tie unpaired more than 1000 (l3 p=10),analysis,analysis/power_l3_p10.csv,n_unpaired_per_method pair=fedit-flora,more than 1000
method_means_tl_flora,TinyLlama FLoRA mean 1.6957,analysis,analysis/method_means.csv,model=tl method=flora het=a01,1.6957
method_means_l3_p10_n20,LLaMA a01 n=20 per method at p=10,analysis,analysis/method_means.csv,model=l3 het=a01,20
stack_effect_l3_mean,N9 l3 stack mean delta 8.4e-4,analysis,analysis/stack_effect.csv,summary label=l3/a01,0.00084
comm_v6_match,Communication matches V6 formula (max abs err 0),analysis,analysis/comm.csv,max_abs_err_vs_v6,0
ffa_slope_tl,FFA-LoRA TinyLlama MB/client slope 98.3125,analysis,analysis/comm.csv,fit_slope_per_active model=tl method=ffa_lora het=a01,98.3125
n_runs_204,204 production cells in runs.csv,analysis,analysis/runs.csv,row count,204
design_204_setup,Setup design statement: 204 production cells,analysis,manuscript/sections/03_setup.tex;,analysis/runs.csv,204
resumed_cells_9,Nine cells resumed from checkpoint,analysis,,run_meta overrides.resume across tl/l3/tl_a05/l3_ext,9
zenodo_availability_dois,Availability statement cites Zenodo concept and v0.9.1 version DOIs,analysis,manuscript/main.tex,Declarations; Zenodo record 22861075,"[""10.5281/zenodo.22861074"",""10.5281/zenodo.22861075""]"
ext_ffa_mnli,FFA-LoRA non-private MNLI-m 85.05+/-1.1 vs LoRA 82.03+/-10.7,external-verified,,Sun et al. ICLR 2024 Table 1 (external-verified),"[85.05,82.03,10.7]"
ext_ffa_qqp,FFA-LoRA non-private QQP 84.35+/-0.6 vs LoRA 83.51+/-3.3,external-verified,,Sun et al. ICLR 2024 Table 1 (external-verified),"[84.35,83.51]"
ext_flora_alpaca,FLoRA vs FedIT Llama Alpaca MMLU 29.85 vs 29.41,external-verified,,Wang et al. NeurIPS 2024 Table 1 (external-verified),"[29.85,29.41]"
ext_picard_cifar,Picard CIFAR-10 range 89.01 to 90.83 = 1.82 pp over 10000 seeds,external-verified,,Picard arXiv:2109.08203 (external-verified),1.82
ext_flora_mmlu_binomial_se,FLoRA 1444-sample MMLU at p≈0.30: binomial SE ≈1.2 pp; independent-difference SE ≤≈1.7 pp vs 0.44-point margin,external-verified,,"Wang et al. NeurIPS 2024 App./text: MMLU on 1,444 samples; our calc SE=sqrt(0.3*0.7/1444)=0.012059≈1.2 pp; SE_diff≤sqrt(2)*SE≈0.01705≈1.7 pp under independent scoring (external-verified sample size; arithmetic ours)","[1444,0.3,0.01205941,0.01705458,0.44]"
ext_hsu_dirichlet,Hsu et al. Dirichlet Dir(alpha p) non-IID construction,external-verified,,Hsu et al. arXiv:1909.06335 (external-verified),
